"lītus, lītoris, n.",14,"shore, beach, coast",,
"locus, locī, m. (in pl. sometimes n.)",2,"place, position",,
"longus, longa, longum",5,long,,
"loquor, loquī, locūtus sum",22,"to speak, talk, say",,
"lūmen, lūminis, n.",31,"light, lamp, torch; eye",,
"lūna, lūnae, f.",2,moon,,
"lūx, lūcis, f.",7,light,,
"maestus, maesta, maestum",26,"sad, mournful",,
"magnus, magna, magnum",5,"large, great; important",,
male,29,badly,,
"mālō, mālle, māluī, —",20,"to prefer, want (something) more",,
"malus, mala, malum",5,bad,,
"maneō, manēre, mānsī, mānsūrus",6,"to remain, stay",,
"manus, manūs, f.",16,hand; band (of men),,
"mare, maris, n.",10,sea,,
"māter, mātris, f.",7,mother,,
"medius, media, medium",13,"middle, middle of (medium mare = “the middle of the sea”)",,
"memoria, memoriae, f.",24,"memory, recollection; history",,
"mēns, mentis, f. ",10,"mind, judgment, reason",,
"mentior, mentīrī, mentītus sum",25,"to lie, speak/say falsely",,
"metuō, metuere, metuī, metūtus",27,"to fear, dread",,
"metus, metūs, m.",16,"fear, dread; anxiety",,
"meus, mea, meum",5,"my, mine",,
"mīles, mīlitis, m.",9,soldier,,
mille,11,thousand,,
"mīlle passūs, mīlia passuum (pl.)",16,mile (lit. “1000 paces”); miles,,
"mīrābilis, mīrābile",32,"wonderful, extraordinary",,
"mīror, mīrārī, mīrātus sum",22,"to wonder (at), be surprised at; admire",,
"misceō, miscēre, miscuī, mixtus",11,"to mix, mingle; stir up, disturb",,
"miser, misera, miserum",6,"miserable, unhappy",,
"mittō, mittere, mīsī, missus",8,to send,,
"moenia, moenium, n. pl.",8,"walls, fortifications",,
"moneō, monēre, monuī, monitus",1,"to advise, warn, remind",,
"mōns, montis, m. ",13,mountain,,
"mōnstrō, mōnstrāre, mōnstrāvī, mōnstrātus",3,"to show, demonstrate",,
"mora, morae, f.",22,delay,,
"morior, morī, mortuus sum",25,to die,,
"moror, morārī, morātus sum",22,to delay,,
"mors, mortis, f. ",10,death,,
"mortālis, mortāle",20,"mortal, transient; human",,
mōs est,28,"it is the custom, habit, way",,
"mōs, mōris, m.",18,"custom, tradition",,
"mōtus, mōtūs, m.",24,"emotion, impulse; movement",,
"moveō, movēre, mōvī, mōtus",6,to move; excite; affect,,
"multitūdō, multitūdinis, f.",20,"multitude, great number, crowd",,
"multus, multa, multum",5,"much, many",,
"mūrus, mūrī, m.",25,wall; fortification wall for a city,,
nam,13,"for (= because); indeed, truly",,
"nārrō, nārrāre, nārrāvī, nārrātus",3,to tell (a story),,
"nāscor, nāscī, nātus sum",30,to be born,,
"nātūra, nātūrae, f.",2,nature,,
"nātus, nātī, m.",30,son,,
"nauta, nautae, m.",1,sailor,,
"nāvigō, nāvigāre, nāvigāvī, nāvigātus",4,"to sail, sail over (across), navigate",,
"nāvis, nāvis, f. ",13,ship,,
nē,25,in order that … not [used with subjunctive],,
nē ,25,not [used with imperative and perfect subjunctive],,
nē … quidem,25,not … even,,
nec,10,"and not, and … not",,
nec … nec,10,neither … nor,,
necesse est,20,it is necessary,,
"nefās, n.",26,"sin, crime (against divine law), wrong",,
"neglegō, neglegere, neglēxī, neglēctus",24,"to ignore, neglect",,
"negō, negāre, negāvī, negātus",19,"to deny, say that … not",,
"nēmō, m.",3,no one,,
neque,10,"and not, and … not",,
"nesciō, nescīre, nescīvī, nescītus",19,not to know,,
