lemma	headword	definition	chapter
nescio	"nesciō, nescīre, nescīvī, nescītus"	not to know	19
neuter	"neuter, neutra, neutrum"	neither (of two)	11
ni	nī	"unless, if … not"	27
nihil	"nihil, n."	nothing	8
nil	"nīl, n."	nothing	8
nisi	nisi	"unless, if … not"	27
noceo	"noceō, nocēre, nocuī, nocitūrus"	"to harm, be harmful to [+ dat.]"	7
nolo	"nōlō, nōlle, nōluī"	"to be unwilling, not want"	20
nomen	"nōmen, nōminis, n."	name	7
non	nōn	not	4
noster	"noster, nostra, nostrum"	"our, ours"	5
novus	"novus, nova, novum"	new; strange	6
nox	"nox, noctis, f. "	night	11
nubes	"nūbēs, nūbis, f."	cloud	14
nullus	"nūllus, nūlla, nūllum"	"not any, no"	11
num	num	[signals a question that expects the answer “no”]	27
num	num	whether [in indirect question]	27
numen	"nūmen, nūminis, n."	"divine will, divine power"	11
numquam	numquam	never	20
nunc	nunc	"now, at present"	6
nuntio	"nūntiō, nūntiāre, nūntiāvī, nūntiātus"	"to announce, report"	6
nuntius	"nūntius, nūntiī, m."	messenger; message	17
ob	ob	because of [+ acc.]	10
occasio	"occāsiō, occāsiōnis, f."	"occasion, opportunity"	29
oculus	"oculus, oculī, m."	eye	4
odi	"ōdī, ōdisse, —"	to hate; dislike	27
odium	"odium, odiī, n."	"hatred, unpopularity"	27
offero	"offerō, offerre, obtulī, oblātus"	"to offer, bring forward"	23
olim	ōlim	once (upon a time); one day (in the future)	9
omnis	"omnis, omne"	"all, every"	10
oportet	"oportet, oportēre, opportuit"	"it is right, one should; it is necessary [+ acc.]"	31
oppidum	"oppidum, oppidī, n."	town	28
ops	"ops, opis, f."	"power, help; (pl.) wealth, resources"	14
opto	"optō, optāre, optāvī, optātus"	"to choose, desire, wish for"	1
opus	opus est	there is a need (of)/use (for) [+ dat.]	25
opus	"opus, operis, n."	"work, labor, task"	25
orbis	"orbis, orbis, m. "	circle; universe [orbis terrārum “the world”]	18
oro	"ōrō, ōrāre, ōrāvi, ōrātus"	"to pray, beg (for) [often with two accusatives: one of the person, the other of the thing]"	6
ostendo	"ostendō, ostendere, ostendī, ostentus/ostēnsus"	"to show, reveal"	19
par	"pār, paris"	equal (to)	12
pareo	"pāreō, pārēre, pāruī, paritūrus"	"to obey, be obedient to [+ dat.]"	7
paro	"parō, parāre, parāvī, parātus"	to prepare	3
pars	"pars, partis, f. "	"part, share, direction"	10
parvus	"parvus, parva, parvum"	small	5
passus3	"passus, passūs, m."	"pace, footstep [mīlle passūs “mile”]"	16
pateo	"pateō, patēre, patuī, —"	"to be open, stand open"	17
pater	"pater, patris, m."	father; senator	7
patior	"patior, patī, passus sum"	"to suffer, allow"	22
patria	"patria, patriae, f."	"country, fatherland"	9
paucus	"paucī, paucae, pauca"	few	13
paulus	"paulus, paula, paulum"	"little, small"	32
pax	"pāx, pācis, f."	peace	7
pectus 	"pectus, pectoris, n."	"breast, chest; heart"	15
pecunia	"pecūnia, pecūniae, f."	"money, property"	1
per	per	"through, along; because of; by (in oaths and prayers) [+ acc.]"	10
pereo	"pereō, perīre, periī (or -īvī) peritūrus"	"to perish, die"	23
periculum	"perīculum, perīculī, n."	danger	15
peritus	"perītus, perīta, perītum"	"experienced, skillful"	29
persuadeo	"persuādeō, peresuādēre, persuāsī, persuāsus"	to persuade [+ dat.]	17
pes	"pēs, pedis, m."	foot	12
peto	"petō, petere, petīvī or petiī, petītus"	"to seek, go after; ask; attack"	9
philosophia	"philosophia, philosophiae, f."	philosophy	27
placeo	"placeō, placēre, placuī, placitūrus"	"to please, be pleasing to [+ dat.]"	7
plenus	"plēnus, plēna, plēnum"	"full (of), filled (with) [+ gen. or abl.]"	8
plus	"plūs, plūris, n."	more [often + gen.]	21
poena	"poena, poenae, f."	penalty [poenam dō “to pay the penalty”]	26
poeta	"poēta, poētae, m."	poet	9
pono	"pōnō, pōnere, posuī, positus"	"to put, place"	13
pons	"pons, pontis, m. "	bridge	25
pontus	"pontus, pontī, m."	"sea, ocean"	3
